seed_count=256
output_dir=/workspace/plankc/rappie-sol/fuzz/seeds/plank_sol_program_diff

raw_fallback_00: buckets=[RawFallback, ShortCalldata, ReturnExit]; mode=RawFallback; entries=1; calls=1; exit=Return
dispatch_00: buckets=[SelectorDispatch, ShortCalldata, ReturnExit]; mode=SelectorDispatch; entries=2; calls=1; exit=Return
combo_00: buckets=[SelectorDispatch, ShortCalldata, ReturnExit]; mode=SelectorDispatch; entries=4; calls=1; exit=Return
combo_01: buckets=[SelectorDispatch, ShortCalldata, ReturnExit]; mode=SelectorDispatch; entries=3; calls=1; exit=Return
arithmetic_00: buckets=[SelectorDispatch, ShortCalldata, Arithmetic, RevertExit]; mode=SelectorDispatch; entries=2; calls=1; exit=Revert
memory_copy_00: buckets=[SelectorDispatch, ShortCalldata, MemoryCopy, ReturnExit]; mode=SelectorDispatch; entries=4; calls=1; exit=Return
signed_arithmetic_00: buckets=[SelectorDispatch, ShortCalldata, Arithmetic, SignedArithmetic, ReturnExit]; mode=SelectorDispatch; entries=2; calls=1; exit=Return
memory_width_00: buckets=[SelectorDispatch, ShortCalldata, MemoryWidth, ReturnExit]; mode=SelectorDispatch; entries=3; calls=1; exit=Return
storage_00: buckets=[SelectorDispatch, ShortCalldata, MemoryCopy, Storage, RepeatedStorageSlot, TransientStorage, RevertExit]; mode=SelectorDispatch; entries=2; calls=1; exit=Revert
unaligned_calldata_00: buckets=[RawFallback, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryCopy, Storage, TransientStorage, ExternalCode, StopExit]; mode=RawFallback; entries=1; calls=1; exit=Stop
multi_call_00: buckets=[RawFallback, MultiCall, MaxCallCount, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryWidth, ExternalCode, Call, Returndata, InvalidExit, CallAndReturndata]; mode=RawFallback; entries=1; calls=4; exit=Invalid
calldata_copy_00: buckets=[SelectorDispatch, ShortCalldata, UnalignedCalldata, Arithmetic, CalldataCopy, Storage, InvalidExit]; mode=SelectorDispatch; entries=3; calls=1; exit=Invalid
struct_00: buckets=[SelectorDispatch, MultiCall, ShortCalldata, Arithmetic, RevertExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, HelperFunction, Import, ImportGroup, HexLiteral, ParameterizedType, DataOffset]; mode=SelectorDispatch; entries=2; calls=2; exit=Revert
combo_02: buckets=[SelectorDispatch, MultiCall, ShortCalldata, FullWidthWord, Arithmetic, SignedArithmetic, ReturnExit]; mode=SelectorDispatch; entries=2; calls=2; exit=Return
multi_entry_00: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, FullWidthWord, MemoryWidth, ReturnExit]; mode=SelectorDispatch; entries=3; calls=3; exit=Return
comptime_type_reflection_00: buckets=[SelectorDispatch, ShortCalldata, FullWidthWord, MemoryCopy, Storage, RepeatedStorageSlot, TransientStorage, RevertExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, CoreOpsOperator, HelperFunction, Import, ImportGroup, ImportGlob, Comments, BinaryLiteral, FunctionReturnsCompound, FunctionEarlyReturn, NestedCompound, StdRegistered]; mode=SelectorDispatch; entries=2; calls=1; exit=Revert
import_single_00: buckets=[RawFallback, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, MemoryCopy, Storage, TransientStorage, ExternalCode, StopExit, Struct, Tuple, CompoundLiteral, FieldAccess, FieldUpdate, ComptimeTypeReflection, HelperFunction, Import, ImportSingle, ImportGroup, ImportAlias, DeepImport, Comments, BinaryLiteral, ComptimeControlFlow, ComptimeLoop, TypeDependentBranch, FunctionEarlyReturn, NestedCompound]; mode=RawFallback; entries=1; calls=1; exit=Stop
storage_multi_call_00: buckets=[SelectorDispatch, MultiCall, MultiEntryTouched, ShortCalldata, UnalignedCalldata, FullWidthWord, Arithmetic, SignedArithmetic, CalldataCopy, Storage, RevertExit, InvalidExit, StorageAndMultiCall]; mode=SelectorDispatch; entries=3; calls=3; exit=Revert
